video_id,title,published_at,channel_title,view_count,like_count,comment_count,fetched_at
A1mDSPsQ4Qw,A Mind-Reader's WORST matchup.,2025-06-24 03:59:11+00:00,CalebCity,290695,48978,1705,
fc23hxQFMdQ,"Iran launches missiles at US bases in Qatar and Iraq, state media reports | BBC News",2025-06-23 17:36:43+00:00,BBC News,5355351,43068,14987,
GLSli8He_l0,Inside the U.S.'s bunker-busting strike on Iran’s nuclear program | About That,2025-06-23 22:50:49+00:00,CBC News,564883,6379,,
io9W-dvBTog,Myriad Celestia Trailer — Fables About the Stars Part 2 | Honkai: Star Rail,2025-06-24 04:01:01+00:00,Honkai: Star Rail,615273,59590,2988,
pe_ejTiIcSs,"Lose 100 LBs, Win $250,000!",2025-06-21 16:00:01+00:00,MrBeast,109211963,4493788,71511,
QGsevnbItdU,"""How It's Done"" Official Lyric Video | KPop Demon Hunters | Sony Animation",2025-06-23 20:45:26+00:00,Sony Pictures Animation,562233,36233,824,
QKHySfXqN0I,Weapons | Official Trailer 2,2025-06-23 16:20:01+00:00,Warner Bros.,3953468,32130,3807,
tK75sGVqnbQ,"The G.O.A.T.S Podcast: Ft Canelo Alvarez, Terence Crawford, Tom Brady, Shaquille O’Neal & Dana White",2025-06-23 16:01:36+00:00,Ring Magazine,301208,10330,3008,
XH8XSKQM7pI,The 2025 Jimmy Awards,2025-06-24 02:57:25+00:00,Jimmy Awards,212853,3153,288,
yebNIHKAC4A,“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation,2025-06-23 22:30:00+00:00,Sony Pictures Animation,801587,57042,2563,
